"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"1",5,4,3,3,5,3,4,3,5,4,4,3,3,3,3,3,3,5,5,5,3,5,5
"2",4,5,4,4,1,5,3,1,2,5,4,1,3,1,5,4,4,4,3,4,4,4,3
"3",3,3,3,5,4,2,4,1,2,4,4,4,3,4,1,4,4,3,4,3,3,4,4
"4",4,3,3,4,4,4,3,3,4,4,3,3,5,5,4,5,4,4,4,5,4,4,4
"5",5,4,3,3,5,5,3,3,4,4,3,3,5,4,5,4,4,5,4,5,4,5,4
"6",5,5,5,5,5,5,4,5,2,5,5,5,3,5,4,5,5,5,5,4,4,4,4
"7",5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"8",5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"9",5,5,5,5,5,5,4,4,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"10",3,3,3,5,4,5,1,2,5,5,3,1,4,3,2,2,4,5,4,4,4,2,2
"11",4,4,4,5,5,3,2,4,5,5,4,2,2,2,3,4,4,5,5,4,4,4,3
"12",5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"13",5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"14",5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"15",4,3,5,5,4,5,3,4,4,5,4,4,3,4,4,5,5,4,5,5,4,4,3
"16",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"17",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"18",5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"19",4,3,4,3,3,4,3,3,5,3,4,3,3,4,3,4,3,4,3,4,3,3,4
"20",4,5,5,5,5,5,2,4,2,5,4,5,4,4,3,5,4,4,3,4,5,5,4
"21",5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5
"22",4,4,3,5,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,1,4,4,4
"23",5,4,5,5,4,3,3,4,5,4,4,5,4,4,4,4,5,4,5,4,4,4,4
"24",4,4,5,4,5,5,3,4,4,5,5,4,3,4,4,4,5,4,5,4,3,5,4
"25",4,4,4,5,1,1,5,5,5,5,5,1,5,5,1,5,5,3,5,5,4,4,5
"26",4,2,3,4,4,2,2,4,5,4,5,2,4,2,2,3,5,4,4,4,4,4,3
"27",4,4,3,4,3,2,3,5,5,5,5,1,5,3,1,5,5,3,5,5,4,2,4
"28",4,5,3,5,5,4,3,5,4,5,4,4,3,3,4,3,3,4,3,4,4,4,4
"29",4,4,5,5,5,2,3,4,3,4,4,4,4,4,2,4,5,5,4,5,5,5,3
"30",5,5,5,5,5,5,4,5,2,5,5,4,4,5,2,5,4,5,5,4,5,5,3
"31",5,5,5,5,5,5,5,5,2,5,5,5,4,4,4,4,4,4,5,5,4,2,4
"32",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
"33",4,4,5,4,5,4,3,3,5,3,5,4,5,4,5,5,5,3,4,4,5,5,3
"34",4,3,5,5,4,3,4,4,4,5,5,3,4,4,4,5,5,4,5,5,4,5,4
"35",5,5,5,5,4,4,5,5,5,5,5,5,5,5,2,5,5,4,4,3,4,4,4
"36",5,4,4,5,4,3,4,3,5,5,3,3,4,4,3,4,4,5,4,4,3,5,3
"37",5,4,5,5,5,3,3,4,5,3,5,4,4,4,3,4,4,5,5,4,3,5,3
"38",5,5,5,5,4,5,3,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5
"39",5,4,4,5,5,5,4,4,4,5,5,5,5,5,3,4,5,5,5,5,5,5,5
"40",5,4,5,5,5,5,4,4,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5
"41",5,5,5,5,4,5,3,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5
"42",5,4,4,4,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5
"43",4,5,3,5,5,5,2,5,2,5,5,4,5,5,5,4,4,5,5,5,5,5,5
"44",5,5,4,4,5,5,4,4,2,4,4,4,4,4,3,3,4,3,4,3,4,4,4
"45",5,3,5,3,4,5,3,5,5,4,5,4,4,3,4,3,4,3,4,4,3,4,3
"46",5,5,5,5,5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
"47",5,3,5,4,4,4,5,5,3,5,4,4,4,3,4,5,5,4,5,5,4,4,5
"48",5,4,4,5,4,5,4,4,3,5,3,2,3,4,3,5,5,5,5,4,4,4,4
"49",4,4,4,5,4,5,3,4,3,4,4,1,4,4,2,4,4,4,4,3,5,3,4
"50",4,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4
"51",4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4
"52",5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,4,5,5,5,5,4,4
"53",5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,3,5,5,5,5,4,4
"54",4,5,4,4,5,5,4,4,3,4,5,2,4,5,4,4,4,4,5,4,4,4,5
"55",5,4,5,4,5,3,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,4,4
"56",4,5,4,5,5,5,4,4,3,4,5,2,4,4,3,4,4,4,5,4,5,4,5
"57",5,4,5,5,5,5,4,4,2,5,5,2,4,4,4,5,5,4,4,4,5,4,5
"58",4,4,4,5,4,4,4,4,2,4,4,2,3,4,4,4,5,4,5,4,4,4,5
"59",4,5,4,5,5,5,4,4,2,4,5,2,5,4,5,4,5,5,5,4,5,4,5
"60",4,4,5,4,5,4,5,4,3,5,4,3,4,5,4,4,5,4,4,5,4,4,5
"61",3,4,4,4,5,5,4,4,3,4,5,2,4,4,4,4,4,4,5,4,5,4,5
"62",5,4,5,4,4,5,4,4,5,5,4,5,4,5,4,4,5,4,4,3,4,4,4
"63",4,4,3,4,4,5,4,4,2,4,4,2,4,4,3,4,4,4,4,4,5,4,5
"64",4,5,4,5,5,5,4,4,4,4,5,3,4,5,4,5,4,5,5,4,4,4,5
